Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PCB_DesignProjects\PCB_Projects\Board 3\Project Outputs for Board 3\Pick Place for brd3_layout.csv

========================================================================================================================
File Design Information:

Date:       06/03/25
Time:       16:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP1","10x Probe TP","TopLayer","TP_Diff_Probe","2420.000","3060.000","180","Test Point 300 mil centers"
"R1","1k","TopLayer","1206_Passive_Resitor","2510.000","3350.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"LED1","Green","TopLayer","LED_1206","2330.000","3350.000","90","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"C3","22uF","TopLayer","1206_Passive_Capacitor","1960.000","3290.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"SW3","PREC003SAAN-RC","TopLayer","3_PIN_100mil","2020.000","3470.000","0","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"R6","1M","TopLayer","1206_Passive_Resitor","1430.000","240.000","0","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R5","1M","TopLayer","1206_Passive_Resitor","1885.000","2580.000","0","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"Y1","X322512MSB4SI","TopLayer","Crystal_resonator","2008.032","2810.000","270","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"TP3","10x Probe TP","TopLayer","TP_Diff_Probe","1445.000","2455.000","270","Test Point 300 mil centers"
"TP2","10x Probe TP","TopLayer","TP_Diff_Probe","1290.000","1260.000","270","Test Point 300 mil centers"
"TP5","10x Probe TP","TopLayer","TP_Diff_Probe","1060.000","1820.000","90","Test Point 300 mil centers"
"TP4","10x Probe TP","TopLayer","TP_Diff_Probe","750.000","2645.000","180","Test Point 300 mil centers"
"U3","TESD5V0V4UCX6_RFG","TopLayer","SOT95P280X145-6N","1510.000","3380.000","180","SOT-26, 5V, 75W, 0.6pF, ESD Protection"
"SW2","TL3305AF160QG","TopLayer","Switch_JLC","1499.055","1210.079","270","Tactile Switch SPST-NO Top Actuated Surface Mount"
"R2","10k","TopLayer","1206_Passive_Resitor","865.000","1240.000","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"L1","FB_10uH_1206","TopLayer","AIML-1206_ABR-M","1060.000","1540.000","90","25mA 10uH ±10% 800mO 1206  Inductors (SMD) ROHS"
"J1","USB Mini","TopLayer","USB_MINI_B","1660.000","3680.000","180","Through Hole USB Connectors RoHS"
"C12","10uF","TopLayer","1206_Passive_Capacitor","1300.000","1760.000","180","10uF ±10% 50V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C9","22pF","TopLayer","1206_Passive_Capacitor","1230.000","440.000","90","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C8","22pF","TopLayer","1206_Passive_Capacitor","1700.000","470.000","270","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C7","1uF","TopLayer","1206_Passive_Capacitor","1490.000","1485.000","0","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C6","22uF","TopLayer","1206_Passive_Capacitor","1265.000","1565.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C5","22pF","TopLayer","1206_Passive_Capacitor","2040.000","3070.000","0","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C1","22pF","TopLayer","1206_Passive_Capacitor","2210.000","2700.000","90","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
